AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
9.51,1.755,304.2,149.1,19.429000000000002,708
4.931,0.995,260.5,0.0,3.1361,255
7.211,1.323,341.3,82.4,13.844999999999999,593
4.476,0.883,197.7,0.0,3.5784,389
6.519,0.615,129.5,0.0,2.6337,1079
6.107,0.277,63.72,0.0,5.6249,1342
6.042,1.53,12.36,48.88,9.562999999999999,557
5.068,0.728,140.9,0.0,2.2297,1237
9.95,2.668,342.4,149.2,20.378,771
2.654,0.657,117.7,0.112,1.6205000000000003,460
9.68,3.295,274.2,167.7,22.433,723
5.826,0.457,49.52,0.0,5.3453,1328
3.642,0.832,175.6,0.0,0.9175000000000001,144
4.134,0.625,105.8,25.73,3.85,501
6.728,0.415,227.6,0.0,3.3211,1057
10.09,3.152,348.6,181.3,23.741000000000003,739
5.915,0.357,53.32,0.0,5.4201,1331
9.74,1.083,351.5,185.0,24.916999999999998,731
6.076,1.002,323.5,33.19,8.3734,539
4.001,1.262,206.1,0.0,0.3957,177
6.283,0.18,274.9,0.0,5.8907,1389
9.3,2.027,325.9,111.0,18.854,697
10.68,2.412,293.4,107.0,22.730000000000004,867
9.81,0.542,349.9,2.403,9.0343,990
10.56,2.063,356.0,151.5,24.985000000000003,807
10.52,2.183,294.2,132.9,22.844,864
6.302,0.408,97.8,0.0,6.001199999999999,1433
6.728,2.55,217.7,0.0,6.0045,7
10.69,3.45,307.4,106.8,21.008,875
9.03,2.032,353.0,92.2,17.185000000000002,667
5.386,0.243,146.6,0.0,2.0469,1115
4.411,0.777,185.9,0.0,3.1658,357
10.24,1.818,311.2,154.3,22.586,783
5.586,0.59,108.5,0.0,1.9757000000000002,1170
3.865,0.59,147.8,0.0,2.6452999999999998,329
9.04,0.972,110.0,1.408,7.6893,1000
6.299,0.54,91.0,0.0,2.237,1103
6.428,0.438,16.08,0.0,2.7944000000000004,1074
4.967,1.39,304.5,0.0,3.2471999999999994,258
6.23,0.315,84.9,0.0,5.856399999999999,1371
4.391,0.613,176.0,0.0,3.3979999999999997,372
5.469,0.422,139.7,0.0,1.9065,1119
10.62,1.677,314.0,143.9,23.270000000000003,852
3.94,0.948,156.5,0.0,1.0394999999999999,142
4.665,0.463,357.2,39.34,7.2326999999999995,525
6.148,0.573,60.42,0.0,2.383,1094
5.823,0.195,27.72,0.0,5.3055,1326
6.468,0.532,100.9,0.0,2.6787,1078
6.228,0.347,83.8,0.0,5.8671,1385
3.589,0.6,155.6,0.0,2.1369,440
5.162,0.622,339.3,32.67,8.0647,531
5.399,0.298,82.5,0.0,2.2036000000000002,1252
4.178,0.71,250.0,0.0,0.12960000000000002,226
10.5,1.41,323.8,13.36,12.855,968
3.902,0.478,200.1,0.0,0.07149999999999994,228
5.218,0.213,338.9,0.0,2.3259,1229
5.523,0.148,289.0,0.0,2.3775,1247
4.399,0.46,209.5,0.0,0.07189999999999999,212
6.18,2.55,231.1,0.0,4.4769,79
3.982,0.778,194.2,0.0,0.6904999999999999,148
10.59,1.475,351.3,171.9,24.228,814
8.17,0.463,94.2,0.484,7.092700000000001,1005
9.28,2.545,357.7,94.9,17.225,671
5.705,0.24,24.76,0.0,2.0928999999999998,1110
6.409,0.29,26.85,0.0,2.5038,1084
10.52,2.107,276.9,157.5,21.360999999999997,836
4.962,0.785,195.8,0.0,1.6484,133
6.2,0.395,77.59,0.0,2.9717000000000002,1066
4.075,0.788,141.2,0.0,3.318,408
4.998,0.137,75.39,0.0,2.0492999999999997,1262
4.099,0.455,75.68,28.73,4.8342,507
